n_e_cm3,R_Te15800,R_Te17300,R_Te18800
1.071519305237606545e+01,1.464719010828768042e-01,1.251473427939283622e-01,1.097020399852959571e-01
1.096478196143185180e+01,1.463646865506069705e-01,1.250585251047466873e-01,1.096263278951930820e-01
1.122018454301963608e+01,1.462551212222274188e-01,1.249677562405356046e-01,1.095489497321488481e-01
1.148153621496882870e+01,1.461431569429570976e-01,1.248749960606473919e-01,1.094698710920863211e-01
1.174897554939529698e+01,1.460287447265968819e-01,1.247802037233156081e-01,1.093890569639681121e-01
1.202264434617413080e+01,1.459118347484280320e-01,1.246833376792423898e-01,1.093064717239300987e-01
1.230268770812381796e+01,1.457923763384294247e-01,1.245843556654306489e-01,1.092220791296081434e-01
1.258925411794167459e+01,1.456703179748379540e-01,1.244832146992804478e-01,1.091358423146753104e-01
1.288249551693134265e+01,1.455456072780765830e-01,1.243798710729697166e-01,1.090477237836057905e-01
1.318256738556407370e+01,1.454181910050774962e-01,1.242742803481413083e-01,1.089576854066837269e-01
1.348962882591654022e+01,1.452880150440262752e-01,1.241663973509171820e-01,1.088656884152747056e-01
1.380384264602885303e+01,1.451550244095567987e-01,1.240561761672639984e-01,1.087716933973795486e-01
1.412537544622754737e+01,1.450191632384244533e-01,1.239435701387325978e-01,1.086756602934897814e-01
1.445439770745927177e+01,1.448803747856898527e-01,1.238285318585973238e-01,1.085775483927664264e-01
1.479108388168207178e+01,1.447386014214431804e-01,1.237110131684194814e-01,1.084773163295616460e-01
1.513561248436207940e+01,1.445937846281024064e-01,1.235909651550624877e-01,1.083749220803077312e-01
1.548816618912481147e+01,1.444458649983193232e-01,1.234683381481860853e-01,1.082703229607945572e-01
1.584893192461113287e+01,1.442947822335277352e-01,1.233430817182470246e-01,1.081634756238608053e-01
1.621810097358929781e+01,1.441404751431701048e-01,1.232151446750373025e-01,1.080543360575227096e-01
1.659586907437560654e+01,1.439828816446402093e-01,1.230844750667887955e-01,1.079428595835659616e-01
1.698243652461744446e+01,1.438219387639793068e-01,1.229510201798768854e-01,1.078290008566278740e-01
1.737800828749375270e+01,1.436575826373663600e-01,1.228147265391541093e-01,1.077127138637963694e-01
1.778279410038922848e+01,1.434897485134418171e-01,1.226755399089487081e-01,1.075939519247542248e-01
1.819700858609983385e+01,1.433183707565081344e-01,1.225334052947612551e-01,1.074726676924972479e-01
1.862087136662867692e+01,1.431433828506493977e-01,1.223882669456951428e-01,1.073488131546568025e-01
1.905460717963247319e+01,1.429647174048131186e-01,1.222400683576576469e-01,1.072223396354572283e-01
1.949844599758045405e+01,1.427823061589023057e-01,1.220887522773679568e-01,1.070931977983393818e-01
