scenario,launch_cost_per_kg_usd,sale_price_per_kg_usd,max_capacity_kg,max_bemr_allowed,chemical_unconstrained_zero_npv_km_s,electric_unconstrained_zero_npv_km_s,electric_unconstrained_bemr_at_limit,chemical_capacity_zero_npv_km_s,electric_capacity_zero_npv_km_s,chemical_capacity_max_npv_at_zero_dv_usd,electric_capacity_max_npv_at_zero_dv_usd,chemical_required_bemr_at_zero_dv,electric_required_bemr_at_zero_dv
Dorrington-Olsen baseline,7469.88,6722.892,160000.0,128.0,1.7893144810930184,4.434972990557981,140.46287712997275,1.2248239369337282,4.42169390683731,511560969.39538753,691325225.2744651,54.951281323572836,45.73476414614386
"Starship public price, 100 t LEO",900.0,810.0,160000.0,128.0,1.7893144810930184,1.1161067145867698,1018.9121249188365,,,-268612174.53090966,-246525017.43709156,446.35515259259313,371.48148148148164
"Starship public price, 150 t LEO",600.0,540.0,160000.0,128.0,1.7893144810930184,0.7905790632485962,1520.8009743379544,,,-304237169.6872731,-289350011.6247277,668.8660622222222,556.6666666666665
