mode,isp_s,capacity_kg,max_bemr_allowed,capacity_constrained_zero_npv_km_s,bemr_at_max_npv,max_npv_usd
chemical,450.0,160000.0,128.0,1.2248239369337282,127.99998277818119,0.01547020673751831
electric,3000.0,160000.0,128.0,4.42169390683731,127.99998277818119,-0.0001608345191925764
