case,dry_total_kg,thrust_n,discount_rate,chemical_zero_npv_km_s,electric_zero_npv_km_s,electric_bemr_at_limit
paper_total_dry_1250kg,1250.0,10.0,0.2,1.7893144810930184,4.434972990557981,140.46287712997275
spacecraft_only_1000kg,1000.0,10.0,0.2,1.7893144810930184,4.913278557998988,144.1501992999741
lower_thrust_2N,1250.0,2.0,0.2,1.7893144810930184,1.623785217599265,128.13350289038996
zero_discount,1250.0,10.0,0.0,1.9972795050489123,13.25249337722188,99999.96589933007
